Date,High,Low,Close,Adj Close,Volume,Open
9/9/1983,0.569196,0.544643,0.546875,0.432141,53172000,0.566964
9/12/1983,0.580357,0.540179,0.546875,0.432141,66578400,0.546875
9/13/1983,0.580357,0.542411,0.571429,0.451543,51044000,0.546875
9/14/1983,0.584821,0.553571,0.564732,0.446252,45382400,0.571429
9/15/1983,0.566964,0.53125,0.537946,0.425086,39709600,0.564732
9/16/1983,0.537946,0.520089,0.524554,0.414503,56436800,0.537946
9/19/1983,0.575893,0.522321,0.571429,0.451543,50495200,0.524554
9/20/1983,0.598214,0.571429,0.573661,0.453307,56604800,0.571429
9/21/1983,0.582589,0.560268,0.5625,0.444488,26588800,0.573661
9/22/1983,0.582589,0.555804,0.580357,0.458599,36030400,0.5625
9/23/1983,0.446429,0.397321,0.433036,0.342185,708086400,0.446429
9/26/1983,0.462054,0.435268,0.444196,0.351004,192192000,0.435268
9/27/1983,0.446429,0.410714,0.419643,0.331602,104277600,0.444196
9/28/1983,0.419643,0.395089,0.408482,0.322783,93374400,0.419643
9/29/1983,0.424107,0.404018,0.40625,0.321019,70694400,0.408482
9/30/1983,0.421875,0.401786,0.412946,0.326311,29467200,0.40625
10/3/1983,0.419643,0.404018,0.412946,0.326311,38225600,0.412946
10/4/1983,0.421875,0.40625,0.408482,0.322783,42403200,0.412946
10/5/1983,0.415179,0.395089,0.401786,0.317491,47667200,0.408482
10/6/1983,0.408482,0.388393,0.397321,0.313964,58234400,0.401786
10/7/1983,0.424107,0.359375,0.363839,0.287506,61583200,0.397321
10/10/1983,0.359375,0.328125,0.352679,0.278687,129281600,0.359375
10/11/1983,0.354911,0.341518,0.345982,0.273395,63190400,0.352679
10/12/1983,0.379464,0.34375,0.377232,0.298089,118154400,0.345982
10/13/1983,0.428571,0.388393,0.410714,0.324547,105128800,0.388393
10/14/1983,0.424107,0.401786,0.40625,0.321019,69815200,0.410714
10/17/1983,0.40625,0.372768,0.375,0.296325,54779200,0.40625
10/18/1983,0.370536,0.337054,0.345982,0.273395,95743200,0.370536
10/19/1983,0.397321,0.341518,0.383929,0.303381,71848000,0.345982
10/20/1983,0.395089,0.354911,0.363839,0.287506,32922400,0.383929
10/21/1983,0.372768,0.350446,0.354911,0.280451,39250400,0.363839
10/24/1983,0.377232,0.319196,0.377232,0.298089,64848000,0.354911
10/25/1983,0.390625,0.375,0.379464,0.299853,42112000,0.377232
10/26/1983,0.383929,0.357143,0.359375,0.283978,32228000,0.379464
10/27/1983,0.386161,0.359375,0.377232,0.298089,24460800,0.359375
10/28/1983,0.381696,0.363839,0.372768,0.294561,20300000,0.377232
10/31/1983,0.410714,0.377232,0.404018,0.319255,43293600,0.377232
11/1/1983,0.428571,0.386161,0.410714,0.324547,82096000,0.404018
11/2/1983,0.430804,0.410714,0.419643,0.331602,50618400,0.410714
11/3/1983,0.421875,0.375,0.390625,0.308672,71500800,0.419643
11/4/1983,0.392857,0.375,0.377232,0.298089,36685600,0.390625
11/7/1983,0.386161,0.370536,0.375,0.296325,38029600,0.377232
11/8/1983,0.348214,0.308036,0.319196,0.252229,305379200,0.348214
11/9/1983,0.34375,0.3125,0.34375,0.271632,88368000,0.319196
11/10/1983,0.359375,0.34375,0.350446,0.276923,55518400,0.34375
11/11/1983,0.363839,0.348214,0.357143,0.282215,29008000,0.350446
11/14/1983,0.361607,0.350446,0.352679,0.278687,27070400,0.357143
11/15/1983,0.354911,0.339286,0.352679,0.278687,29657600,0.352679
11/16/1983,0.366071,0.350446,0.357143,0.282215,25569600,0.352679
11/17/1983,0.370536,0.357143,0.366071,0.28927,22596000,0.357143
11/18/1983,0.372768,0.361607,0.368304,0.291034,19975200,0.366071
11/21/1983,0.386161,0.368304,0.383929,0.303381,26252800,0.368304
11/22/1983,0.388393,0.379464,0.383929,0.303381,26297600,0.383929
11/23/1983,0.383929,0.357143,0.363839,0.287506,28588000,0.383929
11/25/1983,0.368304,0.363839,0.366071,0.28927,9324000,0.363839
11/28/1983,0.377232,0.363839,0.375,0.296325,18099200,0.366071
11/29/1983,0.383929,0.366071,0.370536,0.292798,23822400,0.375
11/30/1983,0.375,0.363839,0.363839,0.287506,16083200,0.370536
12/1/1983,0.372768,0.357143,0.361607,0.285742,19168800,0.363839
12/2/1983,0.361607,0.352679,0.354911,0.280451,21341600,0.361607
12/5/1983,0.366071,0.352679,0.363839,0.287506,11289600,0.354911
12/6/1983,0.368304,0.361607,0.366071,0.28927,12997600,0.363839
12/7/1983,0.383929,0.361607,0.375,0.296325,22288000,0.366071
12/8/1983,0.395089,0.375,0.383929,0.303381,34406400,0.375
12/9/1983,0.395089,0.379464,0.386161,0.305144,20692000,0.383929
12/12/1983,0.388393,0.375,0.383929,0.303381,16284800,0.386161
12/13/1983,0.40625,0.381696,0.401786,0.317491,49386400,0.383929
12/14/1983,0.421875,0.386161,0.417411,0.329838,50472800,0.401786
12/15/1983,0.441964,0.417411,0.435268,0.343949,79150400,0.417411
12/16/1983,0.446429,0.433036,0.441964,0.34924,46216800,0.435268
12/19/1983,0.446429,0.426339,0.428571,0.338657,43400000,0.441964
12/20/1983,0.428571,0.410714,0.417411,0.329838,44436000,0.428571
12/21/1983,0.433036,0.415179,0.433036,0.342185,42946400,0.417411
12/22/1983,0.441964,0.430804,0.441964,0.34924,32636800,0.433036
12/23/1983,0.444196,0.433036,0.439732,0.347477,12140800,0.441964
12/27/1983,0.446429,0.439732,0.441964,0.34924,24108000,0.439732
12/28/1983,0.450893,0.4375,0.446429,0.352768,32138400,0.441964
12/29/1983,0.450893,0.435268,0.435268,0.343949,25687200,0.446429
12/30/1983,0.446429,0.433036,0.435268,0.343949,22965600,0.435268
1/3/1984,0.466518,0.435268,0.457589,0.361587,37548000,0.435268
1/4/1984,0.5,0.459821,0.497768,0.393336,73152800,0.459821
1/5/1984,0.517857,0.493304,0.504464,0.398628,76428800,0.497768
1/6/1984,0.511161,0.486607,0.495536,0.391573,42123200,0.504464
1/9/1984,0.495536,0.453125,0.46875,0.370406,53933600,0.495536
1/10/1984,0.493304,0.46875,0.493304,0.389809,43047200,0.46875
1/11/1984,0.508929,0.491071,0.5,0.3951,43988000,0.493304
