location,Kuala Lumpur,Kuala Lumpur,Kuala Lumpur,Kuala Lumpur
lat,2.99990,2.99990,2.99990,2.99990
lon,101.71875,101.71875,101.71875,101.71875
asl,130.207,130.207,130.207,130.207
variable,Temperature,Relative Humidity,Wind Speed,Wind Direction
unit,°C,%,km/h,°
level,2 m elevation corrected,2 m,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Kuala Lumpur Temperature [2 m elevation corrected],Kuala Lumpur Relative Humidity [2 m],Kuala Lumpur Wind Speed [10 m],Kuala Lumpur Wind Direction [10 m]
20201202T2200,26.172346,87.0,3.8268526,41.18593
20201202T2300,25.742346,88.0,3.6,36.86989
20201203T0000,25.372345,90.0,3.396233,32.005356
20201203T0100,25.272346,90.0,2.5959969,33.690063
20201203T0200,25.062346,91.0,2.0364676,44.999985
20201203T0300,24.892345,92.0,1.8,36.86989
20201203T0400,24.792345,93.0,1.2979984,33.690063
20201203T0500,24.642345,93.0,1.5273507,44.999985
20201203T0600,24.482346,94.0,2.4149535,63.43495
20201203T0700,24.402346,95.0,3.0758414,69.443954
20201203T0800,25.702345,91.0,3.319036,77.47118
20201203T0900,26.662346,85.0,2.6208394,15.945404
20201203T1000,27.912346,78.0,3.219938,26.565033
20201203T1100,28.442345,74.0,4.5536795,18.434952
20201203T1200,29.202345,76.0,3.8268526,41.18593
20201203T1300,28.592346,74.0,3.396233,57.994614
20201203T1400,28.522346,75.0,2.7416782,66.8014
20201203T1500,28.382345,76.0,2.7416782,66.8014
20201203T1600,28.262346,77.0,2.7416782,66.8014
20201203T1700,27.842346,78.0,2.2768397,71.56504
20201203T1800,28.142345,80.0,2.5455842,81.869896
20201203T1900,27.422346,86.0,3.319036,77.47118
20201203T2000,26.942345,85.0,4.0249224,79.695145
20201203T2100,26.422346,86.0,2.968636,14.03624
20201203T2200,26.222345,86.0,2.5455842,44.999985
20201203T2300,25.852346,88.0,2.8116899,39.805573
20201204T0000,25.192345,91.0,2.8116899,50.194427
20201204T0100,24.642345,95.0,3.563818,44.999985
20201204T0200,24.272346,96.0,4.6102495,51.34018
20201204T0300,24.042345,97.0,4.198285,59.036232
20201204T0400,24.052345,97.0,3.5455887,66.037506
20201204T0500,23.862345,98.0,3.8773184,68.19859
20201204T0600,23.782345,98.0,4.0249224,63.43495
20201204T0700,23.692345,98.0,4.0249224,63.43495
20201204T0800,24.902346,92.0,4.3498964,65.55604
20201204T0900,26.402346,84.0,5.2416787,74.054596
20201204T1000,26.952345,81.0,5.1544156,77.905235
20201204T1100,26.662346,81.0,4.896529,72.89727
20201204T1200,26.602346,81.0,5.0142193,68.96249
20201204T1300,26.732346,81.0,4.6938257,57.5288
20201204T1400,27.002346,80.0,6.1305785,49.76364
20201204T1500,26.862345,79.0,7.2,53.130096
20201204T1600,27.002346,78.0,7.289445,57.094757
20201204T1700,27.582346,76.0,7.491114,54.782394
20201204T1800,27.712345,76.0,7.4128532,60.945396
20201204T1900,26.952345,79.0,5.2416787,74.054596
20201204T2000,26.512346,80.0,4.32,89.99999
20201204T2100,26.302345,82.0,4.32,89.99999
20201204T2200,26.112345,83.0,4.3349743,85.23635
20201204T2300,25.912346,84.0,4.802999,77.00538
